__template__;__title__;__vraag__;__mc1Goed__;__mc2Fout__;__mc3Fout__;__mc4Fout__;__fill1Goed__;__fill2Goed__;__fill3Goed__;__fill4Goed__;__fill5Goed__;__fill6Goed__;__fill7Goed__;__fill8Goed__;__openModelAntwoord__;__openCriterium1__;__openCriterium2__;__openCriterium3__;__openCriterium4__;__1Jaar__;__2Hoofdstuk__;__3Deel__;__4Pargrf__;__5Taal__;__6Omvang__;__7Type__;__8Bron__;__meta__
mc;intelligent(e);intelligent(e);slim;lastig;tevreden;aanhalig;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253931,253933,253936]}"
mc;acheter;acheter;kopen;veranderen;voorstellen;winnen;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253931,253933,253936]}"
mc;donner;donner;geven;delen;luisteren;slapen;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253931,253933,253936]}"
mc;exister;exister;bestaan;kijken (naar);meedoen aan;werken;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253931,253933,253936]}"
mc;aider;aider;helpen;ophouden, stoppen;vinden;gamen;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253931,253933,253936]}"
mc;on peut;on peut;we kunnen;ik leef, woon ;we komen;ik heb geen honger;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253931,253933,253936]}"
mc;Comment elle s’appelle? ;Comment elle s’appelle? ;Hoe heet zij?;Hoe is zij?;Waar woon jij?;Heb jij een huisdier?;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253932,253933,253936]}"
mc;Elle s'appelle Samira. ;Elle s'appelle Samira. ;Zij heet Samira. ;Ze is schattig. Maar soms is ze lastig. ;Er staat een bed in en een bureau.;Ik vind mijn slaapkamer leuk, hij is groot.;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253932,253933,253936]}"
mc;Tu as un animal domestique?;Tu as un animal domestique?;Heb jij een huisdier?;Wat doen jullie graag samen? ;Ben jij vaak in jouw slaapkamer?;Woon jij in een huis?;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253932,253933,253936]}"
mc;Oui, j'ai un chien et deux chats.;Oui, j'ai un chien et deux chats.;Ja, ik heb een hond en twee katten.;Ja, mijn hond heet Brownie en hij is erg oud.  ;Ja, om te kletsen met mijn vrienden. ;Ja, ik woon in Parijs.;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253932,253933,253936]}"
mc;Mon chien s'appelle Brownie et il est très vieux.;Mon chien s'appelle Brownie et il est très vieux.;Mijn hond heet Brownie en hij is erg oud.  ;We kijken graag tv. ;Ik heb een zusje van tien. ;Ik woon in een flat. ;;;;;;;;;;;;;;2V;H02;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253918,253921,253929,253932,253933,253936]}"
mc;la tante;la tante;de tante;de kast;het voedsel, het eten;de schildpad;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;le copain, la copine;le copain, la copine;de vriend/vriendin;het raam;de cavia;de arme ziel;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;le rendez-vous;le rendez-vous;de afspraak;de vrije tijd;de vis;de neef, de nicht;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;le portable;le portable;de mobiele telefoon;de stoel ;de vogel;een ander(e);;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;la glace;la glace;het ijsje;de tafel;de hamster;het feest;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;content(e);content(e);tevreden;vroeg;aanhalig;ziek;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;interdit(e);interdit(e);verboden;snel;aardig, lief;lastig;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;nul(le);nul(le);waardeloos;slim;actief;aardig, leuk;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;donc;donc;dus;daar(ginds);vaak;want;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;maintenant;maintenant;nu;daarna, na;soms;dus;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;vite;vite;snel;schattig;bezig met;vroeg;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;peut-être;peut-être;misschien;iedereen;gelukkig;vroeg;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;après;après;daarna, na;naast;soms;daar(ginds);;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;arrêter;arrêter;ophouden, stoppen;leven;helpen;geven;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;j'en ai marre;j'en ai marre;ik ben het zat;ik sta op;ik zorg voor;ik leef, woon ;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;présenter;présenter;voorstellen;gamen;kopen;veranderen;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;écouter;écouter;luisteren;werken;delen;leven;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;participer à;participer à;meedoen aan;slapen;kijken (naar);gamen;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;trouver;trouver;vinden;helpen;ophouden, stoppen;kijken (naar);;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;gagner;gagner;winnen;bestaan;delen;vinden;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253931,253933,253936]}"
mc;Comment tu trouves ta chambre?;Comment tu trouves ta chambre?;Hoe vind jij jouw slaapkamer?;Ben jij vaak in jouw slaapkamer?;Waar woon jij?;Heb jij een huisdier?;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253932,253933,253936]}"
mc;J'aime bien ma chambre, elle est grande.;J'aime bien ma chambre, elle est grande.;Ik vind mijn slaapkamer leuk, hij is groot.;Om te kletsen met mijn vrienden. ;Zij heet Samira. ;Ze is schattig. Maar soms is ze lastig. ;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253932,253933,253936]}"
mc;Il y a un lit et un bureau.;Il y a un lit et un bureau.;Er staat een bed in en een bureau.;Ik vind mijn slaapkamer leuk, hij is groot.;Ik woon in Parijs.;Ik heb een hond en twee katten.;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253932,253933,253936]}"
mc;Tu es souvent dans ta chambre?;Tu es souvent dans ta chambre?;Ben jij vaak in jouw slaapkamer?;Hoe vind jij jouw slaapkamer?;Woon jij in een huis?;Hoe heet zij?;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253932,253933,253936]}"
mc;Oui, pour discuter avec mes amis. ;Oui, pour discuter avec mes amis. ;Ja, om te kletsen met mijn vrienden. ;Ja, er staat een bed in en een bureau.;Ja, ik woon in een flat. ;Ja, we kijken graag tv. ;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253932,253933,253936]}"
mc;Qu'est-ce que tu fais dans ta chambre?;Qu'est-ce que tu fais dans ta chambre?;Wat doe je in je kamer?;Hoe vind jij jouw slaapkamer?;Woon je in een huis?;Ben jij vaak in jouw slaapkamer?;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253932,253933,253936]}"
mc;Je fais mes devoirs et j'écoute de la musique.;Je fais mes devoirs et j'écoute de la musique.;Ik maak huiswerk en ik luister naar muziek.;Ik vind mijn slaapkamer leuk, hij is groot.;om te kletsen met mijn vrienden.;We kijken graag tv.;;;;;;;;;;;;;;2V;H02;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253924,253929,253932,253933,253936]}"
mc;la maison;la maison;het huis;de tante;het konijn;de vogel;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;la cuisine;la cuisine;de keuken;het ijsje;de schildpad;de cavia;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;la chambre;la chambre;de kamer;de mobiele telefoon;de hamster;de vis;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;le salon;le salon;de woonkamer;de afspraak;de tante;de vriend/vriendin;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;la salle de bains;la salle de bains;de badkamer;de vriend/vriendin;het landschap;het bed;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;le lit ;le lit ;het bed;het voedsel, het eten;de tafel;het raam;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;l’armoire (v);l’armoire (v);de kast;de cavia;het landschap;de stoel ;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;la table;la table;de tafel;de vis;het huwelijk;de kast;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;la chaise;la chaise;de stoel ;de vogel;het feest;het bed;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;la fenêtre;la fenêtre;het raam;de hamster;de neef, de nicht;het huwelijk;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;les loisirs (m mv);les loisirs (m mv);de vrije tijd;de schildpad;een ander(e);het feest;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;le paysage;le paysage;het landschap;het konijn;de arme ziel;het voedsel, het eten;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;car ;car ;want;naast;misschien;vaak;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;je me lève;je me lève;ik sta op;ik ben het zat;ik zorg voor;ik heb geen honger;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;tôt;tôt;vroeg;soms;lastig;actief;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;dormir;dormir;slapen;kijken (naar);kopen;meedoen aan;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;travailler;travailler;werken;delen;geven;voorstellen;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;jouer à la console;jouer à la console;gamen;veranderen;helpen;luisteren;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;vivre;vivre;leven;bestaan;ophouden, stoppen;vinden;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;je vis;je vis;ik leef, woon ;ik sta op;ik zorg voor;ik heb geen honger;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253931,253933,253936]}"
mc;Tu habites où?;Tu habites où?;Waar woon jij?;Woon jij in een huis?;Hoe is zij?;Heb jij een huisdier?;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253932,253933,253936]}"
mc;J’habite à Paris.;J’habite à Paris.;Ik woon in Parijs.;Nee, ik woon in een flat. ;Ik heb een zusje van tien. ;Ik heb een hond en twee katten.;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253932,253933,253936]}"
mc;Tu habites dans une maison?;Tu habites dans une maison?;Woon jij in een huis?;Waar woon jij?;Wat doen jullie graag samen? ;Ben jij vaak in jouw slaapkamer?;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253932,253933,253936]}"
mc;Non, j'habite dans un appartement. ;Non, j'habite dans un appartement. ;Nee, ik woon in een flat. ;Nee, ik woon in Parijs.;Nee, we kijken graag tv. ;Nee, mijn hond heet Brownie en hij is erg oud.  ;;;;;;;;;;;;;;2V;H02;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253907,253911,253919,253925,253929,253932,253933,253936]}"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
